"Sp","Order","diet_hoc","wild_status_reseq","IUCN","threatened","harm_mean_wt2","gw_het_mean","outbred_het_mode","froh","ppn_conserved","phylop_kurtosis","ppn_miss_conserved","het_miss_impc_L","het_miss_impc_V","het_lof_impc_L","het_lof_impc_V","hom_miss_impc_L","hom_miss_impc_V"
"Chlorocebus_sabaeus","PRIMATES","Omnivore","captive","LC",0,2.1191941517,0.00255982,0.0022,0.2597999053,0.028594904,23.9014625442,0.087884193,0.347826087,0.3911019141,0,0.0025866529,0.2743467933,0.3542185266
"Choloepus_didactylus","PILOSA","Herbivore","wild","LC",0,0.9766622049,0.0021391,0.0006,0.2846588338,0.0509400022,19.817147395,0.141159598,"NA",0.5360824742,"NA",0,0.303030303,0.4027686223
"Choloepus_hoffmanni","PILOSA","Herbivore","wild","LC",0,2.0924267276,0.00154324,0.001,0.5533123408,0.0478611778,22.8561758643,0.142359113,0.4150943396,0.4103139013,0,0.0022421525,0.3061572159,0.3731484102
"Chrysochloris_asiatica","AFROSORICIDA","Carnivore","wild","LC",0,6.3468067426,"NA","NA","NA",0.0494544807,24.0410617526,0.08237968,"NA","NA","NA","NA",0.2162283323,0.2563766049
"Colobus_angolensis","PRIMATES","Herbivore","captive","VU",1,2.5125763922,0.00174004,0.0012,0.1366666746,0.0305291455,22.9804537273,0.095361081,0.3739612188,0.4566712517,0.0013869626,0.0020632737,0.2833201111,0.371705746
"Condylura_cristata","EULIPOTYPHLA","Carnivore","captive","LC",0,"NA","NA","NA","NA",0.0347040159,18.3631072057,0.072588597,"NA","NA","NA","NA",0.2232698007,0.3096511812
"Craseonycteris_thonglongyai","CHIROPTERA","Carnivore","wild","NT",1,1.4245405276,0.00087222,0.0006,0.365641555,0.035004151,20.4803683661,0.089831919,0.4891304348,0.3519313305,0.0108695652,0.017167382,0.262389561,0.3527608075
"Cricetomys_gambianus","RODENTIA","Omnivore","wild","LC",0,5.6567253691,0.00184828,0.0019,0.1855654853,0.036417098,18.6936076248,0.079653294,0.2831215971,0.3417721519,0.001814882,0.0042194093,0.2458627317,0.3280051754
"Cricetulus_griseus","RODENTIA","Herbivore","captive","LC",0,9.3133015288,0.00114096,0.0026,0.7574876604,0.0407875924,20.2549088831,0.074227143,0.4133663366,0.43281471,0.0099009901,0.0170454545,0.2198153214,0.2887107411
"Crocidura_indochinensis","EULIPOTYPHLA","Carnivore","NA","LC",0,16.9216147673,0.00400048,0.0027,0.0774261155,0.0597415734,19.1410894568,0.100064977,"NA",0.4791666667,"NA",0,0.2736535662,0.2660217654
"Cryptoprocta_ferox","CARNIVORA","Carnivore","captive","VU",1,1.216402414,0.00142852,0.0014,0.114793898,0.0245715695,25.3862306486,0.061264686,0.2612244898,0.3288135593,0,0.004519774,0.2165553857,0.3156374864
